title,abstract,doi,year,author,journal,source,normalized_title
Long-term anthropogenic drivers of diet composition and niche breadth in an endangered avian scavenger: The scant role of sanitary regulations,"The widespread and accelerated transformation experienced by our planet results in populations of endangered species having to survive in highly-altered environments and increasingly relying on resources provided by human subsidies. Presently, vultures rank among the most imperiled functional groups of large vertebrates globally, a situation that is largely attributed to the rapid intensification of agriculture and the subsequent transformation of farming practices and agro-grazing landscapes. Hence, documenting the long-term fluctuations in the vultures' dietary patterns in response to environmental changes, particularly in livestock management, is of utmost significance. Here, by means of bulk stable isotope analysis (delta C-13 and delta N-15), we examined long-term variations in diet composition and niche breadth in a population of the endangered Egyptian vulture (Neophron percnopterus) in the north of the Iberian Peninsula. We specifically focused on the effect of European sanitary regulations enacted in 2014, which allow sheep farmers to abandon livestock remains for consumption by scavenging birds, except for pig carcasses. We found that the implementation of these new regulations did not cause a change in the diet of vultures. Changes were only detected in scrubland areas and were driven by an increase in the consumption of wild rabbit which, in turn, lead to expansion of the trophic niche. These results indicate that these endangered vultures are heavily dependent on food sources derived from intensive farming, mostly of pigs illegally disposed in the wild, and moreover, highlight the importance of carcasses of small vertebrates, often disregarded in conservation programs in favor of the contribution of livestock remains. Our research provides valuable insights into the spatiotemporal dynamics of trophic strategies among avian scavengers, specifically in the context of changes resulting from intensified human-pressures on agro-grazing Mediterranean landscapes.",10.1016/j.gecco.2024.e03189,2024,C De Tena and I Donázar-Aramendía and O Ceballos and E Arrondo and A Cortés-Avizanda and J A Donázar,GLOBAL ECOLOGY AND CONSERVATION,WoS_2025,an and anthropogenic avian breadth composition diet drivers endangered in longterm niche of of regulations role sanitary scant scavenger the
Diet-morphology relationship in a fish assemblage from a medium-sized river of French Guiana: the effect of species taxonomic proximity,"We investigated the global relationship between diet and morphology for 42 fish species from a medium-sized river in French Guiana and checked the influence of the species taxonomic proximity on the implication of individual morphological traits in that relation. The 42 species were classified in eight trophic guilds based on analysis of more than 4000 stomach contents. Taxonomic proximity between species was accounted for by an autoregressive model applied to original data of diet and morphology. Original and taxonomic-free data were then submitted to a Canonical Correspondence Analysis in order to detect the relationship between diet and morphology. We compared the results obtained by analyzing the original data and the corrected data. The results confirm the existence of a significant global relationship between diet and morphology. However, morphological traits responsible for that relation were different when considering the taxonomic-free data. Particularly the well known relationship between gut length and detritivory was not observed on the taxonomic free analysis. It is concluded that controlling for phylogeny is essential to the detection of relationships between diet and morphology. It is also concluded that, despite the robustness of some relationships between morphology and diet, many diets cannot be inferred by a ecomorphological approach.",10.1051/alr:2008032,2008,B {de Merona} and B Hugueny and F L Tejerina-Garro and E Gautheret,AQUATIC LIVING RESOURCES,WoS_2025,a a assemblage dietmorphology effect fish french from guiana in mediumsized of of proximity relationship river species taxonomic the
Ecosystem shifts inferred from long-term stable isotope analysis of male Antarctic fur seal Arctocephalus gazella teeth,"The Atlantic sector of the Southern Ocean has been rapidly changing over the last century. Many of those changes are driven by climate anomalies such as the El Nino-Southern Oscillation and the Southern Annular Mode, which affect biological processes that scale up the food web. We used delta C-13 and delta N-15 time series of dentine growth layer groups (as a proxy of individual foraging history from multiple years, n = 41 teeth) to assess temporal shifts in foraging habits of subadult/adult male Antarctic fur seals Arctocephalus gazella (AFSs) in 2 areas of high concentration of Antarctic krill Euphausia superba: the South Shetland Islands and the South Orkney Islands. Our analyses, which represent the first long-term isotopic assessment of male AFS sampled in Antarctic waters, revealed a significant decrease of delta C-13 (0.04% yr(-1)) from 1974 to 2015 and a decrease of delta N-15 after the late 1990s. The observed changes are likely driven by shifts in latitudinal and longitudinal distribution of krill and increased incorporation of N-15-enriched sources (higher trophic level prey and/or feeding in different areas) in the most recent period for reasons that are not yet clear. We were able to trace ecosystem changes through isotopic bio-archives of Antarctic fur seals, highlighting the role of this species as an ecosystem indicator of the trophic cascade effects caused by climate change in the Southern Ocean.",10.3354/meps14112,2022,R C {de Lima} and J D Cebuhar and J Negrete and A Ferreira and E R Secchi and S Botta,MARINE ECOLOGY PROGRESS SERIES,WoS_2025,analysis antarctic arctocephalus ecosystem from fur gazella inferred isotope longterm male of seal shifts stable teeth
Biomarkers in Ringed Seals Reveal Recent Onset of Borealization in the High- Compared to the Mid-Latitude Canadian Arctic,"Warming of the Arctic has resulted in environmental and ecological changes, termed borealization, leading to the northward shift of temperate species. Borealization has occurred across all trophic levels, altering the structure of the food web. The onset and rate of borealization likely varies with latitude, depending on local warming and advection of warmer water into the Arctic. In order to assess latitudinal trends in food web structure in the Arctic, we analyzed stable nitrogen isotopes of specific amino acids alongside bulk stable carbon isotopes in ringed seal muscle tissue from the Canadian Arctic Archipelago (high-Arctic) and Southern Baffin Bay (mid-Arctic) from 1990 to 2016. Our results indicate a shift in food web structure in the high-Arctic that has occurred more recently when compared with the mid-Arctic. Specifically, over the past 25 years, the trophic position of ringed seals from the mid-Arctic was largely constant, whereas the trophic position of ringed seals decreased in the high-Arctic, reaching similar values observed in the mid-Arctic in 2015-2016. This suggests a potential shortening of the food chain length in the high-Arctic, possibly driven by changes in zooplankton communities feeding complexity in association with sea ice decline. This study identifies a temporal offset in the timing of borealization in the Canadian Arctic, resulting in different response of food webs to ecological changes, depending on latitude.",10.3389/fmars.2021.700687,2021,C {de la Vega} and C Mahaffey and D J Yurkowski and L Norman and E Simpson and S Smout and S H Ferguson and R M Jeffreys,FRONTIERS IN MARINE SCIENCE,WoS_2025,arctic biomarkers borealization canadian compared high in in midlatitude of onset recent reveal ringed seals the the to
Temporal and spatial trends in marine carbon isotopes in the Arctic Ocean and implications for food web studies,"The Arctic is undergoing unprecedented environmental change. Rapid warming, decline in sea ice extent, increase in riverine input, ocean acidification and changes in primary productivity are creating a crucible for multiple concurrent environmental stressors, with unknown consequences for the entire arctic ecosystem. Here, we synthesized 30 years of data on the stable carbon isotope (delta C-13) signatures in dissolved inorganic carbon (delta C-13-DIC; 1977-2014), marine and riverine particulate organic carbon (delta C-13-POC; 1986-2013) and tissues of marine mammals in the Arctic. delta C-13 values in consumers can change as a result of environmentally driven variation in the delta C-13 values at the base of the food web or alteration in the trophic structure, thus providing a method to assess the sensitivity of food webs to environmental change. Our synthesis reveals a spatially heterogeneous and temporally evolving delta C-13 baseline, with spatial gradients in the delta C-13-POC values between arctic shelves and arctic basins likely driven by differences in productivity and riverine and coastal influence. We report a decline in delta C-13-DIC values (-0.011 parts per thousand per year) in the Arctic, reflecting increasing anthropogenic carbon dioxide (CO2) in the Arctic Ocean (i.e. Suess effect), which is larger than predicted. The larger decline in delta C-13-POC values and delta C-13 in arctic marine mammals reflects the anthropogenic CO2 signal as well as the influence of a changing arctic environment. Combining the influence of changing sea ice conditions and isotopic fractionation by phytoplankton, we explain the decadal decline in delta C-13-POC values in the Arctic Ocean and partially explain the delta C-13 values in marine mammals with consideration of time-varying integration of delta C-13 values. The response of the arctic ecosystem to ongoing environmental change is stronger than we would predict theoretically, which has tremendous implications for the study of food webs in the rapidly changing Arctic Ocean.",10.1111/gcb.14832,2019,C {de la Vega} and R M Jeffreys and R Tuerena and R Ganeshram and C Mahaffey,GLOBAL CHANGE BIOLOGY,WoS_2025,and and arctic carbon food for implications in in isotopes marine ocean spatial studies temporal the trends web
The importance of marine resources in the diet of urban gulls,"The availability of anthropogenic food subsidies has promoted an increase in generalist opportunistic gull species, which currently breed and forage on predictable anthropogenic resources (e.g. landfills). Here we investigated whether marine resources are still important to urban-dwelling gulls. We studied 4 natural and 2 urban yellow-legged gull Larus michahellis colonies and compared (1) diet composition (through pellet analysis) and (2) isotopic niches of adults and chicks, (3) diet delivered to chicks of different ages, and (4) fatty acid (FA) composition of fledglings, in order to assess diet composition, diversity and quality, and the relevance of marine prey for natural and urban gull populations. Adult urban gulls consumed considerably lower proportions of marine prey when compared to gulls from natural colonies; however, they fed their younger chicks (< 20 d old) mostly with fish, representing 61-80% of their chick food deliveries. Refuse items were mostly delivered to chicks older than 20 d. Overall, urban isotopic niches were not completely distinct from those of natural colonies, in some cases sharing ca. 50% of their niche space. Fledglings from the most urbanized colony presented overall higher FA concentrations and diversity, but they were lacking some omega-3 FAs relevant to their physiology. Our results highlight the importance of marine resources in the diet of urban gulls, particularly during early chick rearing, the relevance of food sources in the area around the breeding colonies and the fact that urban gulls benefit from year-round reliable anthropogenic food resources.",10.3354/meps13599,2021,J P {de Faria} and P T Vaz and C S Lopes and J G Calado and J M Pereira and S N Veríssimo and V H Paiva and A M M Gonçalves and J A Ramos,MARINE ECOLOGY PROGRESS SERIES,WoS_2025,diet gulls importance in marine of of resources the the urban
Dietary plasticity in the bivalve Astarte moerchi revealed by a multimarker study in two Arctic fjords,"Arctic coastal ecosystems are likely to be strongly affected by predicted environmental changes such as sea-ice decline and increase in freshwater input and turbidity. These changes are expected to impact primary production dynamics and consequently benthic consumers. The trophic relationship between primary producers and benthic primary consumers were compared in 2 Arctic fjords with different seasonal ice-cover: Young Sound (NE Greenland, a high-Arctic fjord) and Kongsfjorden (Svalbard Archipelago, a sub-Arctic fjord). For comparison, we selected the filter-feeding bivalve Astarte moerchi (belonging to the complex A. borealis), which has a broad geographical distribution in the Arctic. The bivalve digestive glands and food sources were characterized with fatty acids (FAs), bulk stable isotopes, and compound-specific stable isotopes of individual FAs. Our results suggest that diatoms of pelagic and/ or benthic origin are the main contributors to the A. moerchi diet in Young Sound and make up a less important fraction of the diet in the Kongsfjorden population. A contribution by sympagic diatoms is clearly excluded in the sub-Arctic fjord and needs to be further assessed in the Arctic fjord. The A. moerchi diet in sub-Arctic Kongsfjorden is more diversified, varies with season, and has contributions from dinoflagellates and macroalgal detritus. These results, together with higher concentrations of total FAs in the Young Sound population, demonstrated and characterized the trophic plasticity of this bivalve species. Based on these results, we discuss potential effects of environmental factors (shifts in trophic resources, increase in turbidity) for A. moerchi populations in changing Arctic ecosystems.",10.3354/meps12035,2017,S De Cesare and T Meziane and L Chauvaud and J Richard and M K Sejr and J Thebault and G Winkler and F Olivier,MARINE ECOLOGY PROGRESS SERIES,WoS_2025,a arctic astarte bivalve by dietary fjords in in moerchi multimarker plasticity revealed study the two
Land Use Influences Niche Size and the Assimilation of Resources by Benthic Macroinvertebrates in Tropical Headwater Streams,"It is well recognized that assemblage structure of stream macroinvertebrates changes with alterations in catchment or local land use. Our objective was to understand how the trophic ecology of benthic macroinvertebrate assemblages responds to land use changes in tropical streams. We used the isotope methodology to assess how energy flow and trophic relations among macroinvertebrates were affected in environments affected by different land uses (natural cover, pasture, sugar cane plantation). Macroinvertebrates were sampled and categorized into functional feeding groups, and available trophic resources were sampled and evaluated for the isotopic composition of C-13 and N-15 along streams located in the Cerrado (neotropical savanna). Streams altered by pasture or sugar cane had wider and more overlapped trophic niches, which corresponded to more generalist feeding habits. In contrast, trophic groups in streams with native vegetation had narrower trophic niches with smaller overlaps, suggesting greater specialization. Pasture sites had greater ranges of resources exploited, indicating higher trophic diversity than sites with natural cover and sugar cane plantation. We conclude that agricultural land uses appears to alter the food base and shift macroinvertebrate assemblages towards more generalist feeding behaviors and greater overlap of the trophic niches.",10.1371/journal.pone.0150527,2016,D M P {de Castro} and D R {de Carvalho} and P D Pompeu and M Z Moreira and G B Nardoto and M Callisto,PLOS ONE,WoS_2025,and assimilation benthic by headwater in influences land macroinvertebrates niche of resources size streams the tropical use
"Spatio-temporal, ontogenetic and sex-related patterns in resource use of Amazonian manatees across floodplains and estuaries as inferred by δ<SUP>13</SUP>C and δ<SUP>15</SUP>N isotopic values","Threats to aquatic mammals may occur in isolation or in combination, leading to cumulative effects on populations and their ecosystems. Thus, conservation actions must consider the complexity of factors involved in patterns of habitat use, including feeding ecology, such as ontogenetic, spatial and temporal dietary shifts. The Amazonian manatee (Trichechus inunguis) occurs in a variety of environments, such as varzeas and igapos (flooded areas) and estuaries. Different environments can lead to variation in the diet of manatees according to the availability and abundance of plant species. Stable isotope analysis (delta C-13 and delta N-15) of manatee teeth was performed to assess spatio-temporal, ontogenetic and sex-related patterns in resource use. Mixing models were applied to identify the most consumed plant groups. In varzeas, there were significant interactions between sex and ontogenetic class and ontogenetic class and time series for delta C-13 values. For manatees sampled from 1994 to 2004, males and adults showed the highest delta N-15 values, and aquatic C-3, followed by C-4 plants, were the groups that most contributed to the species' diet. Comparisons among the environments showed the highest delta C-13 values for manatees from varzeas and the lowest values for manatees from igapos. Varzeas had the highest abundance of C-4 plants (high delta C-13 values), whereas they are scarce in igapos, leading manatees to consume mainly C-3 species. The isotopic values of manatees mirrored those of the most available food sources in each environment, supporting the generalist and opportunist behaviour described for the species. Therefore, threats to the diversity, distribution and abundance of aquatic macrophytes, such as contamination, cattle raising and changes in the hydrological cycle (as a consequence of dams and climate change), will affect the diet of the manatee and should be taken into account when designing conservation strategies for the species.",10.1002/aqc.3833,2022,C C {de Carvalho} and M Marmontel and S Botta and R Emin-Lima and A F Costa and L C Crema and V M F Silva and M T F Piedade and E R Secchi,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,WoS_2025,across amazonian and and and as by estuaries floodplains in inferred isotopic manatees of ontogenetic patterns resource sexrelated spatiotemporal use values δ<sup>13<sup>c δ<sup>15<sup>n
"Food web structure of fish communities of Doce River, 5 years after the Fundão dam failure","The rupture of the Fundao dam is considered the largest mining failure in history, which had a particularly detrimental impact on fish populations, as the mud from the ore tailings significantly altered the water quality and habitat of Doce River basin. This study aimed to assess the trophic structure of fish communities in areas impacted and not impacted by the dam rupture in the Doce River basin. To evaluate the food web structure, community-wide trophic niche, and trophic positions of fish, stable isotopes of carbon (delta 13C) and nitrogen (delta 15N) were utilized across ten sites (seven impacted and three control). In general, fish appeared to assimilate resources such as invertebrates, algae, and periphyton, although the importance of each resource varied among sites. The site closest to the dam rupture exhibited a more simplified trophic structure compared to the control sites and those nearer the river mouth. In this site, most fish species occupied a similar trophic position. Trophic niches also exhibited the greatest dissimilarity between the site closest to the dam failure and those farther away from it, with an expansion of trophic niche breadth observed with an increase in the distance from the dam rupture. Our study provided valuable insights into the trophic structure of fish communities within the Doce River basin, shedding light on the trophic ecology of the 59 fish species investigated. We also emphasize the importance of our study for future assessments of ore tailings dam failure disasters and evaluating the effectiveness of mitigation measures for Doce River basin recovery.",10.1007/s10661-024-12395-7,2024,D R {de Carvalho} and F F Ferreira and J A Dergam and M Z Moreira and P S Pompeu,ENVIRONMENTAL MONITORING AND ASSESSMENT,WoS_2025,5 after communities dam doce failure fish food fundão of of river structure the web years
The trophic structure of fish communities from streams in the Brazilian Cerrado under different land uses: an approach using stable isotopes,"The aim of this study was to evaluate how distinct land uses can alter the trophic structure of fish communities in streams. For this purpose, nine streams under the influence of three distinct land uses (pasture, sugarcane, and natural cover) were evaluated. The structure and isotopic niche of the fish communities were investigated by calculating descriptive community-wide metrics based on stable isotopes of delta C-13 and delta N-15. The largest isotopic niche was observed in fish communities in pasture streams, and the smallest in sugarcane streams. Pasture streams exhibited greater ranges of carbon sources exploited by fishes, higher trophic diversity, and lower trophic redundancy. In contrast, sugarcane streams had greater ranges of nitrogen exploited by fishes and showed the smaller trophic diversity, higher trophic redundancy, and uniformity. Sugarcane was also the only land use that exerted a negative influence on community isotopic niche width. Natural cover streams in turn, showed lower trophic uniformity and exhibited intermediate values for all remaining metrics. We conclude that fish communities residing in streams influenced by pastures displayed characteristics that led to greater trophic diversity, and fish communities influenced by sugarcane plantations were more negatively affected by this land use.",10.1007/s10750-017-3130-6,2017,D R {de Carvalho} and D M P {de Castro} and M Callisto and M Z Moreira and P S Pompeu,HYDROBIOLOGIA,WoS_2025,an approach brazilian cerrado communities different fish from in isotopes land of stable streams structure the the trophic under uses using
Trophic structure of fish assemblages from oligotrophic tropical rivers: evidence of growing assimilation of autochthonous primary producers with the increase in river dimensions,"In this study, we analyzed the trophic structure and carbon sources supporting fish assemblages of five low-productivity rivers with different dimensions. Using carbon (delta C-13) and nitrogen (delta N-15) isotope ratios, we identified the major carbon sources to fish species and estimated fish trophic positions in each river. We observed a similar trophic structure in almost all low-productivity rivers. Detritus (allochthonous resources derived from riparian zone-CPOM and processed organic matter from upstream sources-FPOM) were important to sustain the fish assemblages, especially in smaller rivers. We also observed a growing consumption of autochthonous primary producers, algae and periphyton, with the increase in river dimensions and especially for primary consumers. Fishes from the smallest river occupied lower mean trophic positions; however, the assemblage exhibited wider food-chain length than those from larger rivers. Our results indicate an important role of autochthonous primary producers even in rivers with low nutrient concentrations. These results are important to increase the knowledge about medium-size oligotrophic rivers, especially because tropical rivers can support highly diverse fish assemblages and productive fisheries even exhibiting low in situ primary productivity.",10.1007/s10452-023-10018-w,2023,D R {de Carvalho} and C B M Alves and P S Pompeu,AQUATIC ECOLOGY,WoS_2025,assemblages assimilation autochthonous dimensions evidence fish from growing in increase of of of oligotrophic primary producers river rivers structure the trophic tropical with
Emergy evaluation and economic performance of banana cropping systems in Guadeloupe (French West Indies),"Banana is the second most important agricultural commodity in Guadeloupe (French West Indies-FWI) and, to compensate the decline in international prices during the last 15 years, banana growers have intensified their production systems by increasing the use of technological inputs. Such intensification strategies, that require both material and investment increases, may impose economic as well as environmental risks, given the fragile island ecosystems. In order to assess the environmental performance of banana production in Guadeloupe. emergy synthesis methods were applied to six different types of banana cropping systems previously identified in the island. Additionally, aiming at improving managerial capacity and investment decision making, environmental performance results were contrasted with economic analysis for the six cropping systems. As a general outcome, these analyses showed that the better the environmental performance of the cropping system, the worse its economic performance. This result was corroborated by an increased contrast among cropping systems as related to their dependence on purchased inputs, although all cropping systems followed the same intensive and arguably wasteful agricultural model. Therefore, the analyses point out that sustainable banana production in Guadeloupe depends on a shift from the high fossil input model to a natural resources intensive one. In this sense, emergy flow analysis shows that innovation towards environmentally sound practices that would enhance nutrient cycling: integrate weeds, pests and diseases control; and improve the banana packing process might result in most positive impacts on overall sustainability. Economic analysis showed that the high labour costs contribute largely to the dependency of banana production on agricultural subsidies. However, reorienting the current European agricultural income policy to an environmental performance-based subvention might be a policy opportunity to achieve the present social goals while promoting sustainability in banana production. Furthermore, the EC regulation on quality standards for commercial bananas. by imposing strict aesthetic benchmarks, has a negative effect on the sustainability of banana production because substantial non-renewable and purchased emergy inflows into banana production systems aim to improve aesthetic standards over sound ecological management. (C) 2008 Elsevier B.V. All rights reserved.",10.1016/j.agee.2008.10.015,2009,I {de Barros} and J M Blazy and G S Rodrigues and R Tournebize and J P Cinna,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,WoS_2025,and banana cropping economic emergy evaluation french guadeloupe in indies of performance systems west
LANDSCAPE CONNECTIVITY AND THE DISTRIBUTION OF ALLUVIAL PLAINS IN SEMIARID ENVIRONMENT,"The water and sediment transport matter through the landscape constitutes an essential aspect for understanding environmental dynamics. In this regard, it is paramount the development of researches that seeks the application of analysis methodologies to understand the dynamics of material transfer along drainage systems, pursuing applicable proposals to environmental and water resources management in an integrated manner. Among these there is the landscape connectivity approach, seen as the ability to transmit energy and matter throughout the landscape compartments. Along these lines, this paper aims to identify the dynamic relationships between landscape connectivity in semiarid environment and the distribution of different river typologies, based on the analysis of alluvial planers. This type of research is still important, because in the context of water scarcity to supply rural communities, the diffuse construction of busses along ephemeral canals was carried out to store rainwater. These buses are impediments to the free circulation of energy and matter in the landscape, resulting in the storage of sediments that contributes to the development of alluvial planers upstream. The research was conducted in the Riacho Grande basin, located in the semiarid state of Pernambuco, between the municipalities of Serra Talhada, Calumbi and Flores. The applied methodology was based on the construction of a detailed geomorphological mapping, integrated to land use and land cover, aiming to establish the relationships between the morphological units and the distribution of river disconnection elements; whether they are of natural origin or anthropically conditioned. The fluvial typology of the semiarid fluvial basin under analysis is primarily influenced by the disconnection elements, which reflect both structural and anthropogenic controls, mainly for the longitudinal connections, due to the high distribution of dams in the basin, which result in the accumulation of anthropogenic alluvial planers.",10.20502/rbg.v21i1.1663,2020,J D M {de Almeida} and A C D Corrêa,REVISTA BRASILEIRA DE GEOMORFOLOGIA,WoS_2025,alluvial and connectivity distribution environment in landscape of plains semiarid the
"Monitoring mercury in the loggerhead sea turtle, Caretta caretta","The validity of using blood samples and keratinized scutes for nonlethal routine monitoring of mercury (Hg) in loggerhead sea turtles, Caretta caretta, is evaluated in the context of how effectively these matrixes predict internal tissue Hg burdens and the different temporal scales of exposure they represent. Total Hg (THg) was measured in blood and scutes collected from live captures (n = 34) and liver, kidney, muscle, spinal cord, blood, and scutes collected from freshly stranded loggerhead turtles In = 6) along the coast of the southeastern United States. Linear regressions between monitoring compartments and internal tissues from stranded animals were all statistically significant (r(2) > 0.805, P < 0.015) but varied in their utility as a predictive tool depending on which tissues were paired. Blood was an effective predictor of THg in muscle r(2) = 0.988, p < 0.0001) and spinal cord (r(2) = 0.988, p < 0.0001), while scute was the most accurate predictor of THg in liver (r(2) = 0.948, p = 0.0010). The strength of the relationship between tissues types is believed to reflect the similarity in the temporal scales they represent and the variability in the fraction of methylmercury present. The stability of Hg in the scute matrix makes this tissue preferable for approximating long-term exposure, while blood Hg levels can be affected by recent changes in Hg intake. THg levels in blood and scutes from live captures were highly correlated (linear regression r(2) = 0.926, p < 0.0001) and increased significantly with body mass (r(2) = 0.173, p= 0.016 and r(2) = 0.187, p = 0.012 respectively), further supporting that there is a component reflecting long-term accumulation of Hg in these matrixes. We also present a novel technique using the residuals from the blood-scute regression as an index of recent exposure (IRE). The interpretation of this value is derived from the comparison between the most recent Hg intake (which contributes to the Hg measured in the blood) relative to the average past intake (which is recorded in the scute). A stepwise multiple regression revealed a significant positive relationship between the IRE and the proximity of the capture site to the nearest major industrial river mouth (p = 0.0102). This suggests that there is an elevation of bioavailable Hg in nearshore habitats where terrestrial influences and anthropogenic impacts are high. Seasonal foraging site fidelity and the variability in environmental Hg may explain the high intraspecific variability and occasional highly contaminated turtle seen in this and previous studies.",10.1021/es049628q,2005,R D Day and S J Christopher and P R Becker and D W Whitaker,ENVIRONMENTAL SCIENCE & TECHNOLOGY,WoS_2025,caretta caretta in loggerhead mercury monitoring sea the turtle
Long-term nutrient enrichment decouples predator and prey production,"Increased nutrient mobilization by human activities represents one of the greatest threats to global ecosystems, but its effects on ecosystem productivity can differ depending on food web structure. When this structure facilitates efficient energy transfers to higher trophic levels, evidence from previous large-scale enrichments suggests that nutrients can stimulate the production of multiple trophic levels. Here we report results from a 5-year continuous nutrient enrichment of a forested stream that increased primary consumer production, but not predator production. Because of strong positive correlations between predator and prey production (evidence of highly efficient trophic transfers) under reference conditions, we originally predicted that nutrient enrichment would stimulate energy flow to higher trophic levels. However, enrichment decoupled this strong positive correlation and produced a nonlinear relationship between predator and prey production. By increasing the dominance of large-bodied predator-resistant prey, nutrient enrichment truncated energy flow to predators and reduced food web efficiency. This unexpected decline in food web efficiency indicates that nutrient enrichment, a ubiquitous threat to aquatic ecosystems, may have unforeseen and unpredictable effects on ecosystem structure and productivity.",10.1073/pnas.0908497107,2010,J M Davis and A D Rosemond and S L Eggert and W F Cross and J B Wallace,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,WoS_2025,and decouples enrichment longterm nutrient predator prey production
Comparative Diets of Invasive Blue Catfish: Differences Across Rivers and Ontogenetic Stages,"Blue Catfish (Ictalurus furcatus) are an invasive species with expanding populations in freshwater systems, posing significant ecological challenges to native fauna. To assess their potential impacts in diverse aquatic ecosystems, we examined and compared the diets of non-native Blue Catfish from four rivers in Georgia, USA, two of which drain into the Atlantic Ocean. A total of 936 Blue Catfish were collected from the Altamaha, Ocmulgee, Oconee, and Satilla rivers, with 90.38% of stomachs containing identifiable prey. Stomach content analysis revealed that Asian Clam (Corbicula fluminea) dominated their diet in terms of number (96.76%), weight (69.33%), and to a lesser degree, frequency (36.96%). Across rivers, smaller Blue Catfish (<= 300 mm TL) had diets with a higher relative importance of insects and vegetation. Ontogenetic dietary trends showed increasing consumption of fishes and crustaceans as fish size increased in the Altamaha, Ocmulgee, and Oconee rivers. In contrast, the Satilla River population exhibited broader dietary diversity and distinct ontogenetic shifts. Stable isotope analysis (delta 13C and delta 15N) revealed significant differences between Blue Catfish from the Altamaha and Satilla rivers, underscoring their opportunistic feeding strategies in varying habitats. Bayesian niche overlap analysis indicated that size classes within the Altamaha and Satilla rivers had substantial intraspecific overlap, with Satilla subadults exhibiting the broadest niche (SEAB: 3.83). Factors such as prey availability, density dependence, and environmental conditions likely influence prey selection and feeding strategies in these systems. Understanding these dynamics is crucial for managing the ecological impacts of invasive Blue Catfish in freshwater systems of North America.",10.1111/eff.70001,2025,V D Davis and P C Sakaris and T F Bonvechio and P D Hazelton and M J Hamel,ECOLOGY OF FRESHWATER FISH,WoS_2025,across and blue catfish comparative diets differences invasive of ontogenetic rivers stages
Effect of nutrient enrichment on seagrass associated meiofauna in Tanzania,"Abundance, diversity and community structure of meiofauna, with special emphasis on epiphytic harpacticoid copepods, occurring in Tanzanian seagrass beds under various nutrient inputs was determined. All measured parameters for epiphytic meiofauna and diatoms (fucoxanthin) were negatively affected by nutrient input and this was detected even at the higher taxonomic levels of meiofauna, supporting the validity of higher taxon surrogacy in environmental impact studies. However, benthic meiofauna and other biofilm characteristics (chlorophyll a) did not show any difference between sites suggesting that nutrient enrichment had less impact on these variables. This indicates a differential impact of pollution on epiphytic vs. benthic communities. Consequently, different trophic levels will be impacted in various ways and hence the effects of pollution on the overall ecosystem functioning of seagrass beds are complex and not straightforward. Although the seagrass plants themselves don't show any major changes under different nutrient input, associated organisms that guarantee energy flow at basal levels of the food web in this ecosystem can be largely impacted. (C) 2012 Elsevier Ltd. All rights reserved.",10.1016/j.marenvres.2012.09.005,2012,L N Daudi and C Lugomela and J N Uku and M De Troch,MARINE ENVIRONMENTAL RESEARCH,WoS_2025,associated effect enrichment in meiofauna nutrient of on seagrass tanzania
"Lake of flies, or lake of fish? A trophic model of Lake Malawi","Ecosystem-focused models have, for the first time, become available for the combined demersal and pelagic components of a large tropical lake ecosystem, Lake Malawi. These provide the opportunity to explore continuing controversies over the production efficiencies and ecological functioning of large tropical lakes. In Lake Malawi these models can provide important insight to the effect of fishing on fish composition, and the potential competition that the lakefly Chaoborus edulis may have with fisheries production. A mass-balanced trophic model developed for the demersal fish community of the southern and western areas of Lake Malawi was integrated with an existing trophic model developed for the open-water pelagic. Input parameters for the demersal model were obtained from a survey of fish distributions, fish food consumption studies, and from additional published quantitative and qualitative information on the various biotic components of the community. The model was constructed using the Ecopath approach and software. The graphically presented demersal food web spanned four trophic levels and was based primarily on consumption of detritus, zooplankton and sedimented diatoms. Zooplankton was imported into the system at trophic levels three and four through fish predation on carnivorous and herbivorous copepods and Chaoborus larvae. It is proposed that the primary consumption of copepods was by fish migrating into the pelagic zone. Chaoborus larvae in the demersal were probably consumed near the lakebed as they conducted a daily migration from the pelagic to seek refuge in the sediments. This evidence for strong benthic-pelagic coupling provided the opportunity for linking the demersal model to the existing model for the pelagic community so producing the first model for the complete ecosystem. Energy fluxes through the resulting combined model demonstrated that the primary import of biomass to the demersal system was detritus of pelagic origin (72.1%) and pelagic zooplankton (10.6%). Only 15.8% of the biomass consumed within the demersal system was of demersal origin. Lakefly production is efficiently utilised by the lake fish community, and any attempt to improve fishery production through introduction of a non-native plantivorous fish species would have a negative impact on the stability and productivity of the lake ecosystem. (C) 2009 Elsevier B.V. All rights reserved.",10.1016/j.ecolmodel.2009.11.001,2010,W R T Darwall and E H Allison and G F Turner and K Irvine,ECOLOGICAL MODELLING,WoS_2025,a fish flies lake lake lake malawi model of of of or trophic
